# time, h1
0.000000000000000000e+00 -5.504671355540022371e-23
4.882812500000000000e-04 2.018808683919560124e-22
9.765625000000000000e-04 -2.106164884809192396e-23
1.464843750000000000e-03 6.189019616546167379e-23
1.953125000000000000e-03 1.304972604210594607e-22
2.441406250000000000e-03 7.963058473348160407e-23
2.929687500000000000e-03 3.369415455274576608e-23
3.417968750000000000e-03 2.044249824002783465e-22
3.906250000000000000e-03 2.110044125002846388e-22
4.394531250000000000e-03 -5.506465684335447325e-23
4.882812500000000000e-03 1.457700396415215817e-22
5.371093750000000000e-03 1.499492277900037305e-22
5.859375000000000000e-03 -5.679558546981051844e-23
6.347656250000000000e-03 6.060069388828734688e-23
6.835937500000000000e-03 -2.417086098871729022e-22
7.324218750000000000e-03 -9.124566509671863921e-23
7.812500000000000000e-03 -8.895849068220932812e-23
8.300781250000000000e-03 1.157816266274321799e-22
8.789062500000000000e-03 -2.575767131652162591e-22
9.277343750000000000e-03 9.900355348051305010e-23
9.765625000000000000e-03 -1.443536342201230901e-22
1.025390625000000000e-02 -1.826119879275833424e-23
1.074218750000000000e-02 1.972608468591503645e-22
1.123046875000000000e-02 -6.181489555583836827e-23
1.171875000000000000e-02 -1.306017492802858250e-22
1.220703125000000000e-02 -1.924709361950336262e-22
1.269531250000000000e-02 -5.348265446181425216e-23
1.318359375000000000e-02 1.282611514838258655e-22
1.367187500000000000e-02 -1.289650345847728213e-22
1.416015625000000000e-02 1.677320670138442611e-22
1.464843750000000000e-02 -1.231147218432457862e-22
1.513671875000000000e-02 4.035144712302795405e-24
1.562500000000000000e-02 -1.889315771916801695e-22
1.611328125000000000e-02 1.081960940117496874e-22
1.660156250000000000e-02 7.426804684529842212e-23
1.708984375000000000e-02 -2.814012347633142155e-22
1.757812500000000000e-02 2.829331065558771258e-23
1.806640625000000000e-02 -8.540552349233204880e-23
1.855468750000000000e-02 -4.293941160699638562e-23
1.904296875000000000e-02 -1.565805510894182858e-22
1.953125000000000000e-02 9.600802055353641532e-23
2.001953125000000000e-02 2.156636618056760975e-22
2.050781250000000000e-02 7.471696361669831381e-24
2.099609375000000000e-02 -5.487879699266869745e-23
2.148437500000000000e-02 1.087035959183347321e-22
2.197265625000000000e-02 7.687360996915097197e-23
2.246093750000000000e-02 6.752798086078377939e-23
2.294921875000000000e-02 -8.702938113899397731e-24
2.343750000000000000e-02 1.605129763646037485e-22
2.392578125000000000e-02 -3.201785057605232440e-23
2.441406250000000000e-02 -9.655132054605187273e-23
2.490234375000000000e-02 1.655574845234482488e-22
2.539062500000000000e-02 1.514963816162270927e-22
2.587890625000000000e-02 -6.405449886189035209e-23
2.636718750000000000e-02 -2.352050136678998115e-23
2.685546875000000000e-02 9.785938705386386802e-23
2.734375000000000000e-02 7.659072212989690464e-23
2.783203125000000000e-02 3.841454171660567735e-22
2.832031250000000000e-02 -1.867691171503459930e-22
2.880859375000000000e-02 -4.832821815900192438e-23
2.929687500000000000e-02 1.753908153965622537e-23
2.978515625000000000e-02 -1.360491327593658518e-22
3.027343750000000000e-02 -1.916037614936580002e-22
3.076171875000000000e-02 1.354185559365935853e-22
3.125000000000000000e-02 -1.128667250272784211e-22
3.173828125000000000e-02 -2.299151080839233075e-22
3.222656250000000000e-02 4.020557398524446745e-23
3.271484375000000000e-02 -1.557655196097459300e-22
3.320312500000000000e-02 -1.339038600500651535e-22
3.369140625000000000e-02 -1.301134266250391970e-22
3.417968750000000000e-02 2.323140965457073755e-22
3.466796875000000000e-02 -5.724400633544540702e-24
3.515625000000000000e-02 -9.617670587204244452e-23
3.564453125000000000e-02 -3.782445748495887161e-23
3.613281250000000000e-02 -1.361657811853347661e-22
3.662109375000000000e-02 1.422621401814987592e-22
3.710937500000000000e-02 -7.904607109183597467e-23
3.759765625000000000e-02 1.975369305686986633e-22
3.808593750000000000e-02 -4.187001262962033391e-23
3.857421875000000000e-02 8.280585674492588171e-23
3.906250000000000000e-02 7.666213439855716691e-23
3.955078125000000000e-02 8.225440829678701779e-24
4.003906250000000000e-02 2.543061090310128933e-22
4.052734375000000000e-02 1.439040421996743977e-22
4.101562500000000000e-02 -4.850237119144160647e-23
4.150390625000000000e-02 -2.732140712002187885e-22
4.199218750000000000e-02 1.362569905475319532e-22
4.248046875000000000e-02 -1.434440066282768028e-22
4.296875000000000000e-02 -4.141262999569851987e-23
4.345703125000000000e-02 1.599515844463515503e-22
4.394531250000000000e-02 1.317942753116897941e-22
4.443359375000000000e-02 -1.424162495697122253e-22
4.492187500000000000e-02 -5.257170650183850077e-24
4.541015625000000000e-02 8.239044773760973455e-23
4.589843750000000000e-02 2.057880572640522393e-23
4.638671875000000000e-02 3.587629358637486760e-23
4.687500000000000000e-02 4.664554370552825136e-23
4.736328125000000000e-02 -3.298673889196847588e-23
4.785156250000000000e-02 -1.431760035452721147e-22
4.833984375000000000e-02 -4.506668481587099501e-23
4.882812500000000000e-02 -1.105914494430725819e-23
4.931640625000000000e-02 -1.833580209140390247e-22
4.980468750000000000e-02 4.647224384645217013e-23
5.029296875000000000e-02 -1.113921194357309267e-22
5.078125000000000000e-02 1.345576888807333635e-22
5.126953125000000000e-02 1.060541030143626112e-22
5.175781250000000000e-02 4.512262433121169635e-23
5.224609375000000000e-02 1.099031187508006415e-22
5.273437500000000000e-02 1.889001965282417228e-22
5.322265625000000000e-02 -1.396900448523996942e-22
5.371093750000000000e-02 8.838804110550718704e-23
5.419921875000000000e-02 -6.939257825862071737e-23
5.468750000000000000e-02 -9.581017680746532421e-23
5.517578125000000000e-02 -1.330830259216637826e-22
5.566406250000000000e-02 -2.840709783075431529e-24
5.615234375000000000e-02 -9.839729265848047057e-23
5.664062500000000000e-02 4.195763323697100929e-23
5.712890625000000000e-02 -1.822137102218108642e-22
5.761718750000000000e-02 6.682036936254680829e-23
5.810546875000000000e-02 4.384363591643174159e-23
5.859375000000000000e-02 7.355390846370414786e-23
5.908203125000000000e-02 -7.863203810771459032e-23
5.957031250000000000e-02 -6.074063914410568403e-23
6.005859375000000000e-02 -8.149107856067944268e-23
6.054687500000000000e-02 2.122384134243875148e-22
6.103515625000000000e-02 7.769759218653202510e-23
6.152343750000000000e-02 -2.883673837117855491e-22
6.201171875000000000e-02 4.675528947867596979e-23
6.250000000000000000e-02 1.740751953627077374e-22
6.298828125000000000e-02 5.262620847322031501e-23
6.347656250000000000e-02 -8.481233737169851563e-23
6.396484375000000000e-02 3.083096243739168319e-23
6.445312500000000000e-02 -1.340905176822560258e-22
6.494140625000000000e-02 9.897880049541322267e-23
6.542968750000000000e-02 -2.824817818409057432e-23
6.591796875000000000e-02 -3.209925229242485024e-22
6.640625000000000000e-02 1.540292715477076450e-22
6.689453125000000000e-02 -2.234864024683857285e-23
6.738281250000000000e-02 4.029651606991947507e-23
6.787109375000000000e-02 2.213801222091417174e-22
6.835937500000000000e-02 -2.430262956923850960e-22
6.884765625000000000e-02 -1.179591790794997789e-22
6.933593750000000000e-02 4.345775280233980126e-23
6.982421875000000000e-02 -2.825327253540014649e-23
7.031250000000000000e-02 5.402754735672662377e-23
7.080078125000000000e-02 2.299482324404363996e-22
7.128906250000000000e-02 -1.272762599137792899e-22
7.177734375000000000e-02 8.763256638071595802e-23
7.226562500000000000e-02 -7.927294580318288694e-23
7.275390625000000000e-02 2.894350098602838290e-22
7.324218750000000000e-02 1.728993479033429555e-23
7.373046875000000000e-02 -1.564544587141944381e-23
7.421875000000000000e-02 1.391813778978933857e-22
7.470703125000000000e-02 -1.212835631550809121e-22
7.519531250000000000e-02 9.540899923541881933e-23
7.568359375000000000e-02 -1.557831479947074162e-22
7.617187500000000000e-02 8.511464238228009742e-23
7.666015625000000000e-02 1.347760608650665536e-22
7.714843750000000000e-02 1.627449171919197424e-23
7.763671875000000000e-02 1.922052590627907414e-22
7.812500000000000000e-02 -1.720321763034781529e-22
7.861328125000000000e-02 2.268450969205267869e-22
7.910156250000000000e-02 1.132383639434666535e-22
7.958984375000000000e-02 -1.638003448733960492e-22
8.007812500000000000e-02 5.662220733893605105e-23
8.056640625000000000e-02 -1.717954503009045199e-22
8.105468750000000000e-02 -1.010585876049483787e-22
8.154296875000000000e-02 -1.254092140220079907e-22
8.203125000000000000e-02 2.348140663396951417e-22
8.251953125000000000e-02 8.745150102782962610e-23
8.300781250000000000e-02 5.772841625837566039e-23
8.349609375000000000e-02 -6.808543286332326158e-23
8.398437500000000000e-02 4.269013142257764236e-23
8.447265625000000000e-02 -3.526540458279917006e-23
8.496093750000000000e-02 6.291756342699626055e-23
8.544921875000000000e-02 7.065208369625787074e-24
8.593750000000000000e-02 -2.255859532349939369e-22
8.642578125000000000e-02 -3.460254210255666332e-22
8.691406250000000000e-02 -7.292440820387690486e-23
8.740234375000000000e-02 -8.553053759108897853e-23
8.789062500000000000e-02 1.396614962776154149e-23
8.837890625000000000e-02 -3.164259509335196375e-22
8.886718750000000000e-02 -3.942058569659933210e-24
8.935546875000000000e-02 -2.061005902979983366e-22
8.984375000000000000e-02 -3.570402010028659137e-23
9.033203125000000000e-02 -6.195238974965165070e-24
9.082031250000000000e-02 1.563770322903372083e-22
9.130859375000000000e-02 2.864319561909639313e-23
9.179687500000000000e-02 1.232350623555555830e-22
9.228515625000000000e-02 -1.960249654934761723e-23
9.277343750000000000e-02 -1.013450934166015684e-22
9.326171875000000000e-02 -2.873137820197898150e-24
9.375000000000000000e-02 5.230363342071449040e-23
9.423828125000000000e-02 -3.733724469996843514e-23
9.472656250000000000e-02 2.048947562759465061e-22
9.521484375000000000e-02 2.920943345573640814e-23
9.570312500000000000e-02 -5.925945719121311901e-23
9.619140625000000000e-02 -4.411407148642875837e-23
9.667968750000000000e-02 1.210831703163623565e-23
9.716796875000000000e-02 1.013010029608820517e-22
9.765625000000000000e-02 2.074260462423698314e-22
9.814453125000000000e-02 6.237486168330229232e-23
9.863281250000000000e-02 3.708990650371283270e-23
9.912109375000000000e-02 -1.548155760921617115e-22
9.960937500000000000e-02 1.661652002389505773e-22
1.000976562500000000e-01 -5.065790048089422585e-23
1.005859375000000000e-01 1.422671344362951673e-22
1.010742187500000000e-01 -6.880506141886452164e-23
1.015625000000000000e-01 5.046225128426813583e-23
1.020507812500000000e-01 4.362318189882840385e-23
1.025390625000000000e-01 1.228900045610614687e-22
1.030273437500000000e-01 -7.120977733227594015e-23
1.035156250000000000e-01 2.591552525977655859e-22
1.040039062500000000e-01 1.427047094387082761e-23
1.044921875000000000e-01 -8.220995384987432296e-23
1.049804687500000000e-01 1.395502531469920845e-22
1.054687500000000000e-01 -2.295813387547587601e-23
1.059570312500000000e-01 -1.399071210891322616e-22
1.064453125000000000e-01 1.721855744312299793e-22
1.069335937500000000e-01 -2.278997704424825105e-22
1.074218750000000000e-01 -1.289939221362090375e-23
1.079101562500000000e-01 1.754504367521536287e-22
1.083984375000000000e-01 -5.536924296229564380e-23
1.088867187500000000e-01 2.359753290962278868e-22
1.093750000000000000e-01 -1.472430926414115638e-22
1.098632812500000000e-01 -3.224522147225886305e-23
1.103515625000000000e-01 -3.297880763584147986e-22
1.108398437500000000e-01 1.205604185472681044e-22
1.113281250000000000e-01 5.329824550438603592e-23
1.118164062500000000e-01 -8.101191231277973997e-23
1.123046875000000000e-01 2.756881251786228664e-23
1.127929687500000000e-01 6.483544696007069346e-23
1.132812500000000000e-01 -1.983212626254130875e-22
1.137695312500000000e-01 3.505643333001792445e-23
1.142578125000000000e-01 1.489970901088903113e-22
1.147460937500000000e-01 -2.912646007832093012e-22
1.152343750000000000e-01 2.192581769927361777e-23
1.157226562500000000e-01 8.630611079968103587e-23
1.162109375000000000e-01 -1.392498210939651035e-23
1.166992187500000000e-01 6.055587369825159474e-23
1.171875000000000000e-01 -6.291731641539536990e-23
1.176757812500000000e-01 1.181417843772428649e-22
1.181640625000000000e-01 -2.562242559568517265e-22
1.186523437500000000e-01 -5.858629715654609477e-23
1.191406250000000000e-01 -3.372287668886100127e-22
1.196289062500000000e-01 3.644609205678522872e-23
1.201171875000000000e-01 6.093794633620761099e-23
1.206054687500000000e-01 -9.371291918071026990e-23
1.210937500000000000e-01 -5.056404323720137680e-23
1.215820312500000000e-01 2.014894648376145646e-22
1.220703125000000000e-01 -1.266203827363082672e-22
1.225585937500000000e-01 8.255093448437431294e-23
1.230468750000000000e-01 4.261736343237982189e-23
1.235351562500000000e-01 -1.507096264053023430e-22
1.240234375000000000e-01 1.931183588852765509e-22
1.245117187500000000e-01 -2.979958329107211142e-22
1.250000000000000000e-01 7.757931447579703654e-23
1.254882812500000000e-01 -1.811714146715558095e-22
1.259765625000000000e-01 4.976788395782289646e-23
1.264648437500000000e-01 -1.685256966872825489e-22
1.269531250000000000e-01 1.078095813065177108e-22
1.274414062500000000e-01 -6.802231603779094679e-23
1.279296875000000000e-01 -1.683723911936550152e-22
1.284179687500000000e-01 3.859578670457219842e-22
1.289062500000000000e-01 -2.230006087111297036e-22
1.293945312500000000e-01 1.452851713041310215e-22
1.298828125000000000e-01 1.871568026923386494e-22
1.303710937500000000e-01 1.112456129926100141e-23
1.308593750000000000e-01 2.197563963528529892e-22
1.313476562500000000e-01 5.438002520398031776e-23
1.318359375000000000e-01 2.633073485459439618e-22
1.323242187500000000e-01 1.414313187419095018e-23
1.328125000000000000e-01 9.643592180933384702e-23
1.333007812500000000e-01 1.405587348886508643e-22
1.337890625000000000e-01 -2.863521591202947101e-23
1.342773437500000000e-01 1.815094066877486267e-22
