# time, h1_noise
0.000000000000000000e+00 -2.526861315196307478e-22
4.882812500000000000e-04 -4.887427472668838952e-23
9.765625000000000000e-04 -6.462800501156223995e-23
1.464843750000000000e-03 1.213684537714515441e-22
1.953125000000000000e-03 6.650542130675772805e-23
2.441406250000000000e-03 -8.803723243358631883e-23
2.929687500000000000e-03 -2.594837291774972000e-22
3.417968750000000000e-03 1.247023413848896341e-22
3.906250000000000000e-03 -1.668894682006330166e-22
4.394531250000000000e-03 2.128382034956460127e-22
4.882812500000000000e-03 8.086696189884049520e-23
5.371093750000000000e-03 4.504069992196617976e-23
5.859375000000000000e-03 -2.228579928829162968e-22
6.347656250000000000e-03 1.491002578678374348e-22
6.835937500000000000e-03 -2.459540946765640097e-22
7.324218750000000000e-03 1.326253769954382799e-22
7.812500000000000000e-03 -2.351686706071976408e-22
8.300781250000000000e-03 -1.169682871896200620e-24
8.789062500000000000e-03 2.950968518991785035e-22
9.277343750000000000e-03 -1.821089985047494431e-22
9.765625000000000000e-03 -3.716177093416211810e-23
1.025390625000000000e-02 1.495718811497593901e-22
1.074218750000000000e-02 1.281478456145920884e-22
1.123046875000000000e-02 3.853256848260563578e-23
1.171875000000000000e-02 -3.735075587057980042e-23
1.220703125000000000e-02 2.918396529133865681e-22
1.269531250000000000e-02 9.835629997988584640e-23
1.318359375000000000e-02 3.556270052686841028e-23
1.367187500000000000e-02 -1.073282352848260257e-22
1.416015625000000000e-02 -6.957746731579635883e-24
1.464843750000000000e-02 7.234451551955724040e-23
1.513671875000000000e-02 -1.060882596857904095e-22
1.562500000000000000e-02 1.956454156800354782e-22
1.611328125000000000e-02 -1.475691088945510729e-22
1.660156250000000000e-02 1.567243160494465505e-22
1.708984375000000000e-02 1.328122022451450527e-22
1.757812500000000000e-02 -2.126326664956128783e-23
1.806640625000000000e-02 8.360238320734012314e-23
1.855468750000000000e-02 -4.637731106760103580e-23
1.904296875000000000e-02 1.507214677651532876e-23
1.953125000000000000e-02 9.759321165746713308e-24
2.001953125000000000e-02 5.071056456986034529e-23
2.050781250000000000e-02 2.373174030948808304e-22
2.099609375000000000e-02 -1.084676576455735412e-22
2.148437500000000000e-02 5.936569528637500951e-23
2.197265625000000000e-02 -6.989734551868939931e-24
2.246093750000000000e-02 -1.442426608753571013e-22
2.294921875000000000e-02 -2.025429562884003488e-22
2.343750000000000000e-02 -2.104688821294306831e-23
2.392578125000000000e-02 -1.833348580609752241e-22
2.441406250000000000e-02 -1.688164319533657837e-22
2.490234375000000000e-02 3.972026918348563596e-23
2.539062500000000000e-02 6.193979494946047369e-29
2.587890625000000000e-02 1.667902556648774866e-22
2.636718750000000000e-02 -2.380924850166193234e-23
2.685546875000000000e-02 1.981342186289689579e-22
2.734375000000000000e-02 -1.525341255637125809e-22
2.783203125000000000e-02 -3.414259193001024875e-24
2.832031250000000000e-02 -7.269166510751212312e-23
2.880859375000000000e-02 -3.426515080041504317e-24
2.929687500000000000e-02 1.091214021787943003e-22
2.978515625000000000e-02 -2.495768711235800088e-22
3.027343750000000000e-02 8.372156596091147928e-23
3.076171875000000000e-02 1.194621583219561823e-22
3.125000000000000000e-02 1.347679837830962187e-22
3.173828125000000000e-02 5.919300649005409688e-24
3.222656250000000000e-02 5.895962933109111378e-23
3.271484375000000000e-02 -5.136758956283856036e-23
3.320312500000000000e-02 -1.057047222340707115e-22
3.369140625000000000e-02 7.868144549657756430e-23
3.417968750000000000e-02 -9.840910454689826174e-23
3.466796875000000000e-02 5.282198787129575693e-23
3.515625000000000000e-02 -1.213524207102879029e-23
3.564453125000000000e-02 -9.217296460825996373e-23
3.613281250000000000e-02 6.591382116869499729e-23
3.662109375000000000e-02 -1.582436451387110803e-22
3.710937500000000000e-02 2.940909919052918945e-23
3.759765625000000000e-02 6.036885124086775304e-23
3.808593750000000000e-02 -1.376068807424787057e-22
3.857421875000000000e-02 -1.207355550516317012e-22
3.906250000000000000e-02 -1.521143019929546407e-22
3.955078125000000000e-02 -2.158365518682241018e-23
4.003906250000000000e-02 -9.705850685214216429e-23
4.052734375000000000e-02 -1.560312359568282104e-22
4.101562500000000000e-02 1.477994521921535470e-22
4.150390625000000000e-02 -2.671506257267127419e-22
4.199218750000000000e-02 -1.935422639232830092e-24
4.248046875000000000e-02 1.583708971040246422e-22
4.296875000000000000e-02 4.537592901450122060e-23
4.345703125000000000e-02 -2.264944935554767746e-22
4.394531250000000000e-02 3.330705111249508453e-23
4.443359375000000000e-02 9.776725368901553838e-23
4.492187500000000000e-02 -1.557417243633081935e-24
4.541015625000000000e-02 1.403282495238587283e-22
4.589843750000000000e-02 1.124164453594335110e-22
4.638671875000000000e-02 6.985165018490689761e-23
4.687500000000000000e-02 1.387415064827098863e-22
4.736328125000000000e-02 1.209109915656833337e-22
4.785156250000000000e-02 1.264733457253989098e-22
4.833984375000000000e-02 1.782936606250054055e-22
4.882812500000000000e-02 2.774036016778943911e-23
4.931640625000000000e-02 -4.118445692535136399e-23
4.980468750000000000e-02 1.406628613403786214e-22
5.029296875000000000e-02 1.433916155734175948e-23
5.078125000000000000e-02 1.124647422210650231e-22
5.126953125000000000e-02 -4.369545821549492768e-24
5.175781250000000000e-02 1.385327061025159984e-23
5.224609375000000000e-02 -8.561043173673382928e-23
5.273437500000000000e-02 -1.410859038685240730e-23
5.322265625000000000e-02 6.393205998354157122e-23
5.371093750000000000e-02 6.375811442178290271e-23
5.419921875000000000e-02 -4.118544431042293916e-23
5.468750000000000000e-02 -2.805072583559125615e-23
5.517578125000000000e-02 7.452804062805140123e-23
5.566406250000000000e-02 3.335897078020202994e-23
5.615234375000000000e-02 8.153697110187987560e-23
5.664062500000000000e-02 4.303568509114713367e-23
5.712890625000000000e-02 -1.283104034065796235e-22
5.761718750000000000e-02 -4.015282672795904284e-23
5.810546875000000000e-02 4.404560181984667738e-23
5.859375000000000000e-02 2.310965482013215460e-23
5.908203125000000000e-02 -9.500174704030346978e-24
5.957031250000000000e-02 -7.368857669221582704e-23
6.005859375000000000e-02 -1.165292515015460842e-22
6.054687500000000000e-02 -5.255376318995461575e-23
6.103515625000000000e-02 -1.713331310106403621e-22
6.152343750000000000e-02 7.747524886453990200e-23
6.201171875000000000e-02 -1.502373672656147155e-22
6.250000000000000000e-02 -1.802908608886369727e-22
6.298828125000000000e-02 -1.394657328639776128e-22
6.347656250000000000e-02 -1.875003447207049707e-22
6.396484375000000000e-02 -2.834412254759877664e-23
6.445312500000000000e-02 9.127741193313972816e-24
6.494140625000000000e-02 5.347268631923706098e-23
6.542968750000000000e-02 1.086633727809128271e-22
6.591796875000000000e-02 -1.676732829967079293e-22
6.640625000000000000e-02 8.147450223466577490e-24
6.689453125000000000e-02 1.817903122255494050e-22
6.738281250000000000e-02 -1.858225232215051279e-22
6.787109375000000000e-02 6.227488798673950782e-23
6.835937500000000000e-02 -1.424639728499506429e-22
6.884765625000000000e-02 -3.506225870062165180e-23
6.933593750000000000e-02 -6.565712529503882642e-23
6.982421875000000000e-02 3.674182558744643382e-22
7.031250000000000000e-02 -1.029149598729642987e-22
7.080078125000000000e-02 6.337891693765979522e-23
7.128906250000000000e-02 -5.753455579019581225e-23
7.177734375000000000e-02 1.531500842070936252e-22
7.226562500000000000e-02 2.075971906476887087e-22
7.275390625000000000e-02 -5.442650866069943437e-23
7.324218750000000000e-02 -9.820565691930061170e-24
7.373046875000000000e-02 9.894775353641463718e-23
7.421875000000000000e-02 -3.800182792533790888e-22
7.470703125000000000e-02 -1.332003852995165839e-22
7.519531250000000000e-02 9.354041599642697036e-23
7.568359375000000000e-02 1.377077206067726453e-22
7.617187500000000000e-02 1.423830435297396359e-22
7.666015625000000000e-02 -2.084498649138211931e-22
7.714843750000000000e-02 7.751326903356084317e-23
7.763671875000000000e-02 -5.710103460950040804e-23
7.812500000000000000e-02 3.665622056163365386e-23
7.861328125000000000e-02 -2.811246961464976245e-23
7.910156250000000000e-02 2.387657945461159866e-22
7.958984375000000000e-02 -1.786609251467535233e-22
8.007812500000000000e-02 -4.076377009974756141e-23
8.056640625000000000e-02 -1.797946005248775567e-23
8.105468750000000000e-02 1.170129809834874520e-22
8.154296875000000000e-02 2.689538327678010518e-22
8.203125000000000000e-02 8.412500372240772633e-23
8.251953125000000000e-02 1.771973374468760697e-22
