# time, h1_noise
0.000000000000000000e+00 8.275550753980204206e-23
4.882812500000000000e-04 1.346622791304399229e-22
9.765625000000000000e-04 -6.646916390344806268e-23
1.464843750000000000e-03 -1.926224344480712797e-22
1.953125000000000000e-03 1.049706098416688917e-22
2.441406250000000000e-03 2.565190652133177604e-22
2.929687500000000000e-03 1.328800187994320448e-22
3.417968750000000000e-03 -6.416950555094324857e-23
3.906250000000000000e-03 -1.084743554695377713e-22
4.394531250000000000e-03 -8.176132328075648965e-23
4.882812500000000000e-03 1.471674458319733634e-22
5.371093750000000000e-03 2.159484598793672816e-22
5.859375000000000000e-03 -4.013868062372269135e-23
6.347656250000000000e-03 7.733344477304732328e-24
6.835937500000000000e-03 1.641961105387088741e-22
7.324218750000000000e-03 -1.619311984627863405e-22
7.812500000000000000e-03 2.804058915649281840e-22
8.300781250000000000e-03 -2.451440761778969856e-22
8.789062500000000000e-03 5.171912459914463173e-23
9.277343750000000000e-03 -1.870256283212066100e-22
9.765625000000000000e-03 5.505468623467498123e-23
1.025390625000000000e-02 -2.638627308674698179e-24
1.074218750000000000e-02 -2.623779962427289203e-22
1.123046875000000000e-02 -1.869454894101785699e-24
1.171875000000000000e-02 -7.727941626689317520e-23
1.220703125000000000e-02 -1.080150083001302989e-22
1.269531250000000000e-02 -6.965949916135413222e-23
1.318359375000000000e-02 1.159939721785615464e-22
1.367187500000000000e-02 -1.117679717613936651e-22
1.416015625000000000e-02 -1.397786376800010735e-22
1.464843750000000000e-02 8.600316738760507846e-24
1.513671875000000000e-02 -1.349303749623477692e-22
1.562500000000000000e-02 8.608271064497169015e-23
1.611328125000000000e-02 -9.278613377772966504e-23
1.660156250000000000e-02 -2.582807862287584823e-22
1.708984375000000000e-02 2.786013196969419471e-22
1.757812500000000000e-02 9.722742424533090648e-23
1.806640625000000000e-02 1.542919650531532591e-22
1.855468750000000000e-02 1.310053568659548110e-23
1.904296875000000000e-02 -4.443558565720580426e-23
1.953125000000000000e-02 2.148886339245152411e-23
2.001953125000000000e-02 1.779234190147768512e-22
2.050781250000000000e-02 -9.215722581570849328e-24
2.099609375000000000e-02 -6.541324595533809054e-24
2.148437500000000000e-02 7.774809398385832838e-23
2.197265625000000000e-02 -4.135131504775878823e-24
2.246093750000000000e-02 1.275136058200762827e-22
2.294921875000000000e-02 8.045536240484020312e-23
2.343750000000000000e-02 -1.058908747704235150e-24
2.392578125000000000e-02 7.608673600518349004e-23
2.441406250000000000e-02 -1.953575966559295732e-22
2.490234375000000000e-02 -1.936550779762092228e-22
2.539062500000000000e-02 2.819920574650242907e-22
2.587890625000000000e-02 1.168641380802532925e-22
