# times, data
0.000000000000000000e+00 -1.689653494313941344e-22
9.765625000000000000e-04 2.612186878410451836e-22
1.953125000000000000e-03 -6.766706340287028157e-23
2.929687500000000000e-03 -2.669997174095027025e-22
3.906250000000000000e-03 -1.082689529644448335e-23
4.882812500000000000e-03 7.739294369237215587e-23
5.859375000000000000e-03 -3.703773226226753037e-22
6.835937500000000000e-03 -8.618677707307914378e-23
7.812500000000000000e-03 -3.961662649008795499e-23
8.789062500000000000e-03 3.108811857066015772e-22
9.765625000000000000e-03 -1.277789311025772271e-23
1.074218750000000000e-02 -1.524405189218814081e-22
1.171875000000000000e-02 3.467852972048448765e-23
1.269531250000000000e-02 3.522194568937968257e-22
1.367187500000000000e-02 -1.993752840805923168e-22
1.464843750000000000e-02 -1.348405222267620434e-22
1.562500000000000000e-02 1.930678854470650008e-22
1.660156250000000000e-02 2.602073181279691474e-22
1.757812500000000000e-02 -4.600878438850621721e-23
1.855468750000000000e-02 -3.278499001325104787e-24
1.953125000000000000e-02 2.483613691870978888e-22
2.050781250000000000e-02 1.116942609636645906e-22
2.148437500000000000e-02 -1.794303017446926933e-22
2.246093750000000000e-02 -1.709408741237902350e-22
2.343750000000000000e-02 2.456195727878096159e-22
2.441406250000000000e-02 -2.631333588609061006e-22
2.539062500000000000e-02 -2.474157844535516825e-22
2.636718750000000000e-02 -3.193823605585206834e-22
2.734375000000000000e-02 -1.721890555256929293e-22
2.832031250000000000e-02 -2.623812304560543486e-22
2.929687500000000000e-02 1.855166812630017290e-22
3.027343750000000000e-02 1.780393969073006839e-22
3.125000000000000000e-02 -5.441274983971657282e-22
3.222656250000000000e-02 -9.450468325440642497e-23
3.320312500000000000e-02 1.556778304924659246e-22
3.417968750000000000e-02 6.354781538449203255e-23
3.515625000000000000e-02 -1.520229144413567724e-22
3.613281250000000000e-02 5.563624278550315962e-22
3.710937500000000000e-02 -6.999807138786747383e-23
3.808593750000000000e-02 8.046010142483921081e-23
3.906250000000000000e-02 -5.647276178001595751e-23
4.003906250000000000e-02 -4.059787468908850265e-22
4.101562500000000000e-02 5.172822207038966059e-22
4.199218750000000000e-02 -5.707500219387937128e-23
4.296875000000000000e-02 4.004380345050004495e-23
4.394531250000000000e-02 -1.209423246936519106e-22
4.492187500000000000e-02 2.003734806719276032e-22
4.589843750000000000e-02 2.522311397093953959e-22
4.687500000000000000e-02 7.652748714700949732e-23
4.785156250000000000e-02 -2.361060894437332459e-22
4.882812500000000000e-02 3.674053889621136278e-22
4.980468750000000000e-02 3.244686221096917074e-22
5.078125000000000000e-02 2.086585186235856855e-22
5.175781250000000000e-02 1.588787615842687759e-23
5.273437500000000000e-02 -2.737247490979436241e-22
5.371093750000000000e-02 -7.481357248610724515e-23
5.468750000000000000e-02 -2.463145133804257213e-22
5.566406250000000000e-02 2.764097362271695802e-22
5.664062500000000000e-02 -7.802366045604903907e-23
5.761718750000000000e-02 9.882027936436596824e-23
5.859375000000000000e-02 -1.964187327887709175e-22
5.957031250000000000e-02 1.554576737106958074e-22
6.054687500000000000e-02 -7.706800744690661590e-24
6.152343750000000000e-02 2.764541814363722830e-22
6.250000000000000000e-02 -1.618714811252045159e-22
6.347656250000000000e-02 6.760565211577826463e-22
6.445312500000000000e-02 -2.669225454328793551e-22
6.542968750000000000e-02 -3.171934524869845129e-24
6.640625000000000000e-02 -3.308851691350950133e-22
6.738281250000000000e-02 -7.255619213031358464e-24
6.835937500000000000e-02 1.070898653166690394e-22
6.933593750000000000e-02 -2.227814022116905634e-23
7.031250000000000000e-02 1.143157874381966251e-22
7.128906250000000000e-02 -3.018971741546420078e-22
7.226562500000000000e-02 1.006391894943524151e-22
7.324218750000000000e-02 -1.241460835528172405e-22
7.421875000000000000e-02 1.875919470911601469e-22
7.519531250000000000e-02 -3.077407922375472952e-22
7.617187500000000000e-02 2.254508967936329840e-22
7.714843750000000000e-02 2.222219024676816565e-24
7.812500000000000000e-02 -1.335333101360825690e-22
7.910156250000000000e-02 -2.557014258286132693e-22
8.007812500000000000e-02 8.637661687731208256e-23
8.105468750000000000e-02 -1.171428501174034143e-22
8.203125000000000000e-02 -6.422169348185071772e-23
8.300781250000000000e-02 5.731668947204582316e-24
8.398437500000000000e-02 -7.110932831647979209e-23
8.496093750000000000e-02 4.626673879462456501e-22
8.593750000000000000e-02 -2.682971182927714336e-22
8.691406250000000000e-02 2.451205822537586670e-22
8.789062500000000000e-02 2.373651859395021791e-22
8.886718750000000000e-02 2.419845521569407166e-22
