# times, data
0.000000000000000000e+00 1.909398766762166963e-23
9.765625000000000000e-04 -2.769892727512358861e-22
1.953125000000000000e-03 4.925473969984507426e-23
2.929687500000000000e-03 -1.461098878241256393e-22
3.906250000000000000e-03 -3.230792409254019948e-22
4.882812500000000000e-03 1.195375907127560377e-22
5.859375000000000000e-03 4.628024260938025358e-23
6.835937500000000000e-03 1.479799109663815379e-22
7.812500000000000000e-03 1.022076066067198434e-22
8.789062500000000000e-03 -1.924959643290339600e-22
9.765625000000000000e-03 5.377220249148205364e-22
1.074218750000000000e-02 4.355689229733020175e-23
1.171875000000000000e-02 -7.407258568343279580e-23
1.269531250000000000e-02 1.712375983546456159e-22
1.367187500000000000e-02 6.407620797328091778e-23
1.464843750000000000e-02 1.151937960335923681e-22
1.562500000000000000e-02 2.782906610686354114e-22
1.660156250000000000e-02 1.705159320314032128e-22
1.757812500000000000e-02 2.504586553390481562e-22
1.855468750000000000e-02 3.333557561481630175e-22
1.953125000000000000e-02 4.312605908419833137e-22
2.050781250000000000e-02 -3.846162522013113418e-22
2.148437500000000000e-02 8.528773914610540988e-23
2.246093750000000000e-02 -8.359378522018408642e-23
2.343750000000000000e-02 9.934871220930043031e-23
2.441406250000000000e-02 2.223447331810978388e-22
2.539062500000000000e-02 8.287821959868344100e-23
2.636718750000000000e-02 3.461004220315997483e-22
2.734375000000000000e-02 -1.197375508972758931e-23
2.832031250000000000e-02 4.179223042969724597e-22
2.929687500000000000e-02 -1.001559303364465246e-22
3.027343750000000000e-02 -3.093865537497436308e-22
3.125000000000000000e-02 -6.051405838090542740e-23
3.222656250000000000e-02 3.581887070057826110e-23
3.320312500000000000e-02 2.771515634234680531e-22
3.417968750000000000e-02 1.848046404463101752e-22
3.515625000000000000e-02 3.399294450053418849e-22
3.613281250000000000e-02 -2.460556113237311962e-23
3.710937500000000000e-02 -2.721751587597515750e-22
3.808593750000000000e-02 1.323001815728516536e-22
3.906250000000000000e-02 2.111423405658086946e-22
4.003906250000000000e-02 1.848888978257691982e-22
4.101562500000000000e-02 -2.648731243154257129e-22
4.199218750000000000e-02 1.979981575967865257e-22
4.296875000000000000e-02 2.165981670574043230e-22
4.394531250000000000e-02 3.021509868750623134e-22
4.492187500000000000e-02 -7.231633770607787260e-23
4.589843750000000000e-02 -2.637609362353321143e-22
4.687500000000000000e-02 -2.332175495979321956e-22
4.785156250000000000e-02 3.075034598756705134e-22
4.882812500000000000e-02 -1.792031734151124153e-22
4.980468750000000000e-02 -4.183969916185583047e-22
5.078125000000000000e-02 1.326970769899052771e-22
5.175781250000000000e-02 -2.179864893937155750e-22
5.273437500000000000e-02 -3.487803646639862816e-23
5.371093750000000000e-02 -1.841012148357521121e-22
5.468750000000000000e-02 2.697963658777825865e-22
5.566406250000000000e-02 -1.364811783907586950e-22
5.664062500000000000e-02 3.594686221970749534e-22
